"importance_rank","importance_tier","importance_score","raw_priority_score","issue_number","title","state","labels","bug_classification","classification_basis","fixability_bucket","theme","ranking_rationale","created_at","updated_at","closed_at"
"1","critical","100","116","727","Leftover removal of ""Mentor Graphics CAMCAD Runtime install"" wants to remove half the Windows registry","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-04-04 15:50:44","2025-04-28 12:16:47",""
"2","critical","97","113","724","Marks all wrong items with Good confidence, all right items with Bad confidence","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-03-30 15:03:55","2025-07-17 14:20:17",""
"3","critical","96","111","520","Uninstaller name ""Update"" causes high confidence Leftover false positives","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-07-14 17:09:13","2023-07-16 19:15:15",""
"4","critical","94","109","552","Launch Error causing freezing, making program unusable: System.Text.Json.JsonException","open","","bug-like","manual triage from title/body","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-11-07 11:02:32","2024-04-11 17:26:13",""
"5","critical","94","109","793","The program freezes when deleting any application","open","","bug-like","manual triage from title/body","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-08-27 22:11:00","2025-09-06 22:46:13",""
"6","critical","93","108","866","""The feature you are trying to use is on a network resource that is unavailable."" pop-up window in v6.1.0","open","bug","bug","upstream bug label","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2026-03-07 12:59:29","2026-03-07 14:15:16",""
"7","critical","92","106","551","Forever Loading when starting both in standalone and protable ver.","open","","bug-like","manual triage from title/body","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-11-07 05:04:09","2023-11-08 20:00:01",""
"8","critical","92","106","699","Invalid leftover removal item","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface.","2025-02-09 08:53:10","2025-02-20 17:59:04",""
"9","critical","88","102","504","BEWARE Portable Apps Deleted","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit suggests a real bug, but it still needs stronger repro data.","2023-06-21 00:51:29","2023-06-25 17:46:15",""
"10","critical","88","102","579","Missing/Broken Msiexec Circumventing CPU Stall Checks","open","bug; automatization","bug","upstream bug label","likely fixable in current repo","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2024-01-23 19:24:28","2024-02-23 16:25:17",""
